0.00;0.964;1.894;-0.288
0.09;0.964;1.894;-0.288
0.19;0.964;1.894;-0.288
0.29;0.964;1.894;-0.288
0.57;0.964;1.894;-0.288
0.59;0.964;1.894;-0.288
0.86;0.964;1.894;-0.288
0.86;0.964;1.894;-0.288
0.88;0.964;1.894;-0.288
0.90;0.964;1.894;-0.288
1.00;0.964;1.894;-0.288
1.10;0.964;1.894;-0.288
1.20;0.964;1.894;-0.288
1.30;0.964;1.894;-0.288
1.58;0.964;1.894;-0.288
1.59;0.964;1.894;-0.288
1.84;0.964;1.894;-0.288
1.85;0.964;1.894;-0.290
1.87;0.963;1.892;-0.297
1.90;0.962;1.889;-0.306
2.00;0.962;1.887;-0.317
2.10;0.961;1.885;-0.323
2.20;0.960;1.882;-0.335
2.30;0.959;1.880;-0.340
2.58;0.956;1.877;-0.344
2.60;0.955;1.877;-0.341
2.69;0.952;1.874;-0.342
2.87;0.950;1.873;-0.335
2.90;0.946;1.871;-0.331
2.90;0.945;1.871;-0.327
3.00;0.944;1.870;-0.322
3.10;0.943;1.870;-0.321
3.20;0.943;1.870;-0.321
3.30;0.943;1.870;-0.323
3.59;0.942;1.866;-0.338
3.61;0.941;1.864;-0.346
3.68;0.940;1.861;-0.356
3.83;0.938;1.859;-0.359
3.86;0.935;1.857;-0.360
4.00;0.930;1.853;-0.357
4.10;0.928;1.852;-0.356
4.20;0.925;1.850;-0.353
4.30;0.924;1.849;-0.350
4.60;0.923;1.849;-0.348
4.61;0.923;1.849;-0.348
4.68;0.923;1.849;-0.348
4.83;0.923;1.848;-0.352
4.85;0.922;1.845;-0.363
4.91;0.921;1.844;-0.370
5.00;0.920;1.841;-0.382
5.10;0.920;1.839;-0.389
5.20;0.917;1.836;-0.395
5.30;0.916;1.835;-0.396
5.55;0.912;1.832;-0.397
5.62;0.910;1.830;-0.397
5.69;0.907;1.828;-0.401
5.89;0.906;1.828;-0.397
5.91;0.905;1.826;-0.402
5.92;0.905;1.826;-0.402
6.01;0.905;1.826;-0.402
6.11;0.905;1.826;-0.402
6.20;0.905;1.826;-0.402
6.30;0.905;1.826;-0.401
6.41;0.906;1.828;-0.394
6.62;0.907;1.829;-0.389
6.70;0.908;1.832;-0.379
6.89;0.908;1.833;-0.372
6.92;0.909;1.836;-0.362
6.92;0.910;1.837;-0.356
7.01;0.911;1.839;-0.348
7.11;0.911;1.840;-0.343
7.21;0.912;1.842;-0.336
7.31;0.912;1.844;-0.331
7.41;0.913;1.846;-0.320
7.62;0.913;1.848;-0.315
7.69;0.913;1.848;-0.315
7.89;0.913;1.848;-0.315
7.91;0.913;1.848;-0.315
7.92;0.913;1.848;-0.315
8.01;0.913;1.848;-0.315
8.11;0.913;1.848;-0.315
8.21;0.913;1.848;-0.315
8.31;0.913;1.848;-0.315
